Lon,Lat,Populations
128.5436241,35.84054126,2981.72
128.5447312,35.84053164,2592.73
128.5425169,35.84055087,1495.09
128.5447194,35.83963017,1487.41
128.5436123,35.83963979,1171.74
128.5303501,35.84155738,1059.24
128.5458383,35.84052201,994.97
128.5413981,35.839659,931.96
128.5469455,35.84051236,904.82
128.5370165,35.84330317,860.54
128.5369578,35.83879583,844.29
128.5414098,35.84056047,837.67
128.531399,35.83704053,837.29
128.5425051,35.8396494,834.27
128.5303268,35.83975444,831.67
128.5369461,35.83789436,824.72
128.5403027,35.84057006,784.81
128.5314106,35.837942,721.96
128.5303152,35.83885297,720.27
128.5480526,35.84050271,711.33
128.536993,35.84150023,706.87
128.5303035,35.8379515,633.44
128.5402909,35.83966859,629.78
128.5370048,35.8424017,618.69
128.5314223,35.83884347,612.04
128.531434,35.83974494,603.93
128.5303385,35.84065591,556.85
128.5369696,35.8396973,554.99
128.5480408,35.83960125,522.3
128.535839,35.83790391,512.88
128.5358859,35.84150978,510.33
128.5336716,35.84152885,451.37
128.5358507,35.83880538,434.5
128.5381002,35.84149067,431.43
128.5302919,35.83705003,427.83
128.5325177,35.8379325,387.75
128.5347788,35.84151932,384.59
128.5358976,35.84241125,378.06
128.5436359,35.84144272,374.1
128.5314573,35.84154788,368.4
128.5392308,35.84328404,356.85
128.539172,35.8387767,345.55
128.5458265,35.83962054,340.56
128.5369813,35.84059877,324.64
128.538065,35.83878627,322.99
128.5380884,35.84058921,321.22
128.5391838,35.83967817,312.53
128.5325644,35.84153837,311.92
128.5381237,35.84329361,301.01
128.5347319,35.83791345,300.67
128.5414334,35.8423634,295.63
128.5391955,35.84057964,288.24
128.5414452,35.84326486,287.65
128.5469336,35.8396109,282.16
128.5414216,35.84146193,275.23
128.5413863,35.83875754,275
128.5447431,35.8414331,273.61
128.5447076,35.83872871,261.96
128.5392191,35.84238257,230.07
128.5325294,35.83883397,228.49
128.5413745,35.83785607,228.17
128.5425287,35.84145233,226.92
128.5336248,35.83792298,224.84
128.5424816,35.83784647,221.94
128.5480289,35.83869979,219.57
128.548017,35.83779832,219.05
128.5314456,35.84064641,215.81
128.5436005,35.83873833,211.33
128.5292197,35.83976393,208.67
128.5392073,35.8414811,205.17
128.5403145,35.84147152,204.61
128.540338,35.84327446,203.94
128.529243,35.84156687,199.14
128.5359093,35.84331272,192.03
128.5292313,35.8406654,188.87
128.5402792,35.83876713,184.32
128.5458147,35.83871908,178.75
128.5347436,35.83881492,158.78
128.5381119,35.84239214,147.2
128.5435887,35.83783686,145.07
128.5425405,35.8423538,143.15
128.5358624,35.83970685,137.77
128.5446958,35.83782724,137.51
128.5403262,35.84237299,135.16
128.5380532,35.83788481,133.89
128.5424933,35.83874794,132.94
128.5436477,35.84234419,132.66
128.5325411,35.83973543,128.42
128.5391603,35.83787524,114.32
128.5336599,35.84062738,110.44
128.5447549,35.84233457,107.7
128.5469218,35.83870944,105.93
128.5325527,35.8406369,102.21
128.5425523,35.84325526,91.46
128.5402674,35.83786566,88.61
128.534767,35.84061785,83.83
128.5336365,35.83882445,79.13
128.5380767,35.83968774,78.14
128.5336482,35.83972592,72.88
128.529208,35.83886246,72.62
128.5358741,35.84060832,69.87
128.5458028,35.83781761,65.77
128.5291848,35.83705952,63.44
128.5436595,35.84324565,61.88
128.5281359,35.84157634,57.46
128.5291964,35.83796099,56.37
128.5469099,35.83780797,54.15
128.5447667,35.84323603,41.37
128.5281242,35.84067487,33.53
128.5280893,35.83797046,24.51
128.5347553,35.83971639,22.16
128.5281126,35.8397734,13.13
128.5280777,35.83706899,12.28
128.528101,35.83887193,6.22
128.5358273,35.83700245,1384.05
128.5369344,35.8369929,1354.51
128.5379827,35.832476,1082.65
128.5413627,35.8369546,990.92
128.5402556,35.83696419,932.83
128.5380415,35.83698334,932.36
128.5391015,35.8333679,908.87
128.5402085,35.83335832,856.11
128.5313873,35.83613907,778.05
128.53465,35.83160317,720.12
128.5302802,35.83614856,699.89
128.5424698,35.836945,642.16
128.5302919,35.83705003,568.72
128.5347202,35.83701198,550.09
128.5480052,35.83689686,533.57
128.5379945,35.83337747,510.26
128.533543,35.8316127,502.05
128.535757,35.83159363,497.52
128.5446367,35.83331991,489.62
128.5368992,35.83428849,462.57
128.5336131,35.83702151,422.11
128.5368874,35.83338703,374.49
128.5368757,35.83248556,359.77
128.5413509,35.83605314,346.06
128.5435769,35.8369354,343.9
