Lon,Lat,Populations
128.5436241,35.84054126,2971.27
128.5447312,35.84053164,2583.64
128.5425169,35.84055087,1489.83
128.5447194,35.83963017,1482.18
128.5436123,35.83963979,1167.62
128.5303501,35.84155738,1055.53
128.5458383,35.84052201,991.5
128.5413981,35.839659,928.67
128.5469455,35.84051236,901.65
128.5370165,35.84330317,857.53
128.5369578,35.83879583,841.34
128.5414098,35.84056047,834.73
128.531399,35.83704053,834.34
128.5425051,35.8396494,831.35
128.5303268,35.83975444,828.75
128.5369461,35.83789436,821.86
128.5403027,35.84057006,782.06
128.5314106,35.837942,719.42
128.5303152,35.83885297,717.74
128.5480526,35.84050271,708.82
128.536993,35.84150023,704.38
128.5303035,35.8379515,631.22
128.5402909,35.83966859,627.58
128.5370048,35.8424017,616.49
128.5314223,35.83884347,609.89
128.531434,35.83974494,601.81
128.5303385,35.84065591,554.91
128.5369696,35.8396973,553.05
128.5480408,35.83960125,520.48
128.535839,35.83790391,511.08
128.5358859,35.84150978,508.55
128.5336716,35.84152885,449.78
128.5358507,35.83880538,433
128.5381002,35.84149067,429.92
128.5302919,35.83705003,426.33
128.5325177,35.8379325,386.38
128.5347788,35.84151932,383.24
128.5358976,35.84241125,376.72
128.5436359,35.84144272,372.8
128.5314573,35.84154788,367.11
128.5392308,35.84328404,355.58
128.539172,35.8387767,344.34
128.5458265,35.83962054,339.38
128.5369813,35.84059877,323.5
128.538065,35.83878627,321.87
128.5380884,35.84058921,320.12
128.5391838,35.83967817,311.45
128.5325644,35.84153837,310.83
128.5381237,35.84329361,299.95
128.5347319,35.83791345,299.61
128.5414334,35.8423634,294.6
128.5391955,35.84057964,287.25
128.5414452,35.84326486,286.64
128.5469336,35.8396109,281.17
128.5414216,35.84146193,274.29
128.5413863,35.83875754,274.03
128.5447431,35.8414331,272.65
128.5447076,35.83872871,261.05
128.5392191,35.84238257,229.27
128.5325294,35.83883397,227.69
128.5413745,35.83785607,227.38
128.5425287,35.84145233,226.13
128.5336248,35.83792298,224.07
128.5424816,35.83784647,221.17
128.5480289,35.83869979,218.79
128.548017,35.83779832,218.28
128.5314456,35.84064641,215.06
128.5436005,35.83873833,210.59
128.5292197,35.83976393,207.92
128.5392073,35.8414811,204.45
128.5403145,35.84147152,203.89
128.540338,35.84327446,203.22
128.529243,35.84156687,198.43
128.5359093,35.84331272,191.35
128.5292313,35.8406654,188.22
128.5402792,35.83876713,183.66
128.5458147,35.83871908,178.14
128.5347436,35.83881492,158.21
128.5381119,35.84239214,146.66
128.5435887,35.83783686,144.55
128.5425405,35.8423538,142.64
128.5358624,35.83970685,137.31
128.5446958,35.83782724,137.03
128.5403262,35.84237299,134.69
128.5380532,35.83788481,133.42
128.5424933,35.83874794,132.48
128.5436477,35.84234419,132.2
128.5325411,35.83973543,127.94
128.5391603,35.83787524,113.91
128.5336599,35.84062738,110.06
128.5447549,35.84233457,107.31
128.5469218,35.83870944,105.56
128.5325527,35.8406369,101.85
