osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,bridge,access,tunnel
41962786,primary,4,60,달구벌대로,True,30,False,132.74317789351022,,,
671853521,secondary,,,성서로,False,,True,81.31479350232641,,,
1352322587,secondary,,,성서로,False,,False,20.369050809130858,,,
41962786,primary,4,60,달구벌대로,True,30,False,64.32856728526848,,,
41962786,primary,4,60,달구벌대로,True,30,False,238.76580747269236,,,
41962786,primary,4,60,달구벌대로,True,30,False,83.68378485275245,,,
308904289,primary_link,1,,,True,,False,112.1951593450408,,,
473848716,secondary,,,,False,,True,24.263295023681884,,,
585182097,tertiary,,,,True,,False,16.868742225858213,,,
825785954,secondary,,,달서대로,True,10,False,949.4100688924151,,,
32500426,secondary,,,성서로,False,,False,195.56017435902808,,,
469046214,secondary,,,선원로,False,,False,331.04184652860425,,,
470103089,residential,4,,,False,,False,198.30689802501877,,,
469046214,secondary,,,선원로,False,,True,178.34941219010534,,,
37401420,secondary,,,성서공단북로,False,,False,182.94415840378076,,,
37401420,secondary,,,성서공단북로,False,,True,129.07655430985176,,,
1352322587,secondary,,,성서로,False,,False,269.2767195733119,,,
1352322587,secondary,,,성서로,False,,True,154.82607409280388,,,
1352322585,secondary,,,성서로,False,,False,69.37354507465952,,,
1352322585,secondary,,,성서로,False,,True,73.53181788146574,,,
1352322590,secondary,,,성서공단로,False,,False,63.890806631951925,,,
1352322590,secondary,,,성서공단로,False,,True,68.5599354348225,,,
37742359,secondary,,,새방로,False,,False,107.81308320291704,,,
37742359,secondary,,,새방로,False,,True,89.69842041385803,,,
498570020,residential,,,새방로6길,False,,False,53.683591398469396,,,
469046213,secondary,,,성지로,False,,False,57.578439298020676,,,
469046213,secondary,,,성지로,False,,True,30.47685601639355,,,
498570000,residential,,,성지로22길,False,,False,55.8405388925014,,,
469046212,secondary,,,성지로,False,,True,100.88330914482157,,,
469046213,secondary,,,성지로,False,,False,58.4684846126583,,,
498570002,residential,,,성지로14길,False,,True,46.27810835231177,,,
"[469042219, 472455084]",secondary,,,이곡공원로,False,,True,510.76489970256466,,,
82621197,secondary,,,성서공단로,False,,False,11.408937588152872,,,
67146852,secondary,,,성서공단로,True,28,False,135.06509273128296,,,
32606611,secondary,,,성서공단로,False,,False,167.7749224179343,,,
32606611,secondary,,,성서공단로,False,,True,54.44504636728107,,,
37399905,secondary,,,성서동로,False,,False,100.86763844118886,,,
181236326,secondary,,,성서동로,False,,True,371.4264873153954,,,
825786148,secondary,,,달서대로,True,17,False,506.548696041918,,,
825786149,secondary,,,성서공단로,False,,False,137.45555252111524,,,
1087522487,secondary,,,성서공단로,False,,True,15.29326697671493,,,
37401418,secondary,,,,False,,False,64.63131440012465,,,
37401418,secondary,,,,False,,True,43.73959350511423,,,
825786149,secondary,,,성서공단로,False,,True,60.618962136267584,,,
37401392,secondary,,,선원로,False,,True,52.99055286114728,,,
469046213,secondary,,,성지로,False,,True,57.578439298020676,,,
469046214,secondary,,,선원로,False,,True,506.2303841832181,,,
37742359,secondary,,,새방로,False,,False,204.38591249886696,,,
35971252,residential,,,와룡로53길,False,,False,37.00785370875652,,,
35971252,residential,,,와룡로53길,False,,True,158.58573453611842,,,
162627604,residential,,,와룡로51길,False,,False,135.24947058425312,,,
109053920,residential,,,월배로65길,False,,False,75.73385911816843,,,
109053920,residential,,,월배로65길,False,,True,42.11301421982355,,,
471372175,residential,,,월배로65안길,False,,True,90.51113602562322,,,
37402488,secondary,,,장기로,False,,True,29.404010591332593,,,
32813934,residential,,,장기로10길,False,,False,588.9357417573473,,,
37402488,secondary,,,장기로,False,,False,133.38445622794205,,,
157338320,secondary,,,야외음악당로,False,,False,36.8871272786029,,,
157338320,secondary,,,야외음악당로,False,,True,87.58451354685405,,,
157338682,residential,,,야외음악당로41길,False,,False,72.38048222647926,,,
32814395,tertiary,,,야외음악당로,False,,False,50.13432588390081,,,
32814395,tertiary,,,야외음악당로,False,,True,115.21203012917171,,,
157338577,residential,,,야외음악당로49길,False,,True,73.71913244503378,,,
32814395,tertiary,,,야외음악당로,False,,False,94.48933915825575,,,
32814395,tertiary,,,야외음악당로,False,,True,57.34253655798974,,,
157338754,residential,,,야외음악당로57길,False,,True,81.48667049026896,,,
32814395,tertiary,,,야외음악당로,False,,True,94.48933915825575,,,
37403038,tertiary,2,,파도고개로,False,,True,29.47080226776672,,,
665439545,tertiary,,,파도고개로,False,,False,66.66852758471437,,,
32500426,secondary,,,성서로,False,,True,103.33560862219251,,,
469042045,secondary,,,이곡공원로,False,,False,114.9370446119238,,,
671853521,secondary,,,성서로,False,,False,143.46460932873086,,,
32836581,secondary,,,계대동문로,False,,True,213.57272421698997,,,
469042045,secondary,,,이곡공원로,False,,True,238.74594719234224,,,
469044540,residential,,,,False,,False,77.32351437590306,,,
469042045,secondary,,,이곡공원로,False,,False,246.2890885796041,,,
32836584,tertiary,,,달구벌대로259길,False,,False,74.79555807364318,,,
469042045,secondary,,,이곡공원로,False,,False,25.98026070999786,,,
469042045,secondary,,,이곡공원로,False,,True,99.39597721688715,,,
1087522489,tertiary,,,계대동문로,False,,False,20.314264731405018,,,
1087522491,secondary,,,달서대로,True,17,False,379.4266471896649,,,
37402038,secondary,,,성서서로,False,,False,146.81489559052181,,,
37402038,secondary,,,성서서로,False,,True,168.09984080756234,,,
476046334,residential,,,성서서로73길,False,,False,49.227534276012676,,,
"[471478362, 37741141]",tertiary,,,선원남로,False,,True,677.538020647776,,,
37400382,secondary,,,성서서로,False,,True,17.428234690834795,,,
37402038,secondary,,,성서서로,False,,False,185.8150167317854,,,
41962786,primary,4,60,달구벌대로,True,30,False,378.7481760884558,,,
469044544,secondary,,,성서동로,False,,False,145.2641057761494,,,
32836585,tertiary,,,새동네로,False,,False,600.5520551602419,,,
469044544,secondary,,,성서동로,False,,True,150.71563035925914,,,
720714971,tertiary,,,성서동로,False,,True,286.95416980839366,,,
41962786,primary,4,60,달구벌대로,True,30,False,55.08875286738482,,,
308904282,tertiary_link,,,,True,,False,39.88405694360436,,,
469022213,residential,,,이곡동로,False,,False,110.60125454179261,,,
469022213,residential,,,이곡동로,False,,True,137.3428470312917,,,
469044541,tertiary,,,달구벌대로259길,False,,False,153.96060206109524,,,
469044541,tertiary,,,달구벌대로259길,False,,True,67.40703875045688,,,
469044541,tertiary,,,달구벌대로259길,False,,False,112.01932105642037,,,
469044541,tertiary,,,달구벌대로259길,False,,True,153.96060206109524,,,
720714971,tertiary,,,성서동로,False,,False,248.23895042624085,,,
469046211,secondary,,,성지로,False,,False,64.71285891351724,,,
32836585,tertiary,,,새동네로,False,,True,600.5520551602419,,,
181224240,tertiary,,,새동네로,False,,False,47.29102708164802,,,
