u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
366663675,2887381046,0,82621197,secondary,,,성서공단로,False,,False,11.408937588152872,"LINESTRING (128.5226086 35.836737, 128.5224822 35.8367318)",,,
366663675,860825824,0,67146852,secondary,,,성서공단로,True,28,False,135.06509273128296,"LINESTRING (128.5226086 35.836737, 128.5232923 35.8367105, 128.5241037 35.8367615)",,,
366663678,12797957110,0,32606611,secondary,,,성서공단로,False,,False,167.7749224179343,"LINESTRING (128.5158888 35.8363597, 128.514042 35.8361726)",,,
366663678,12797965295,0,32606611,secondary,,,성서공단로,False,,True,54.44504636728106,"LINESTRING (128.5158888 35.8363597, 128.5164919 35.836386)",,,
366663678,12797946786,0,37399905,secondary,,,성서동로,False,,False,100.86763844118886,"LINESTRING (128.5158888 35.8363597, 128.5158808 35.8372668)",,,
366663678,436806074,0,181236326,secondary,,,성서동로,False,,True,371.4264873153954,"LINESTRING (128.5158888 35.8363597, 128.5159007 35.8330194)",,,
366663679,436855721,0,825786148,secondary,,,달서대로,True,17,False,506.548696041918,"LINESTRING (128.4919404 35.8349582, 128.4920454 35.8304035)",,,
366663679,9964163780,0,825786149,secondary,,,성서공단로,False,,False,137.45555252111524,"LINESTRING (128.4919404 35.8349582, 128.4904156 35.8349586)",,,
366663679,5063405874,0,1087522487,secondary,,,성서공단로,False,,True,15.29326697671493,"LINESTRING (128.4919404 35.8349582, 128.49211 35.8349615)",,,
366663680,9500922019,0,37401418,secondary,,,,False,,False,64.63131440012465,"LINESTRING (128.4824693 35.8349033, 128.4829863 35.8345006)",,,
366663680,9500922018,0,37401418,secondary,,,,False,,True,43.73959350511423,"LINESTRING (128.4824693 35.8349033, 128.4821114 35.8351689)",,,
366663680,9500892416,0,825786149,secondary,,,성서공단로,False,,True,60.618962136267584,"LINESTRING (128.4824693 35.8349033, 128.4831372 35.8349666)",,,
366669829,4899624362,0,37401392,secondary,,,선원로,False,,True,52.99055286114728,"LINESTRING (128.521145 35.858827, 128.521733 35.8588254)",,,
366669829,365781951,0,469046213,secondary,,,성지로,False,,True,57.578439298020676,"LINESTRING (128.521145 35.858827, 128.5211402 35.8583092)",,,
366669829,1916679926,0,469046214,secondary,,,선원로,False,,True,506.2303841832181,"LINESTRING (128.521145 35.858827, 128.5155292 35.8589332)",,,
366669829,4899624432,0,37742359,secondary,,,새방로,False,,False,204.38591249886696,"LINESTRING (128.521145 35.858827, 128.5211724 35.8595744, 128.5211992 35.8598961, 128.52127 35.8601595, 128.5214353 35.8606395)",,,
