osmid,위도,경도,street_count,highway,junction,ref,railway,convenience_store_count,cctv_count,police_count,lighting_count
436774583,35.8291554,128.5519893,4,,,,,0,1,0,9
436774588,35.83771,128.5073253,4,,,,,0,0,0,6
436774609,35.86158,128.52627,3,,,,,0,2,0,13
436778082,35.825,128.51334,4,,,,,2,1,0,6
436801576,35.8522495,128.504917,3,,,,,0,1,0,6
436801580,35.8554181,128.5049702,3,,,,,0,0,0,9
436801584,35.8496029,128.5254489,5,,,,,0,3,0,7
436801586,35.8504989,128.5306251,3,,,,,0,1,0,6
436801968,35.8540185,128.5283898,3,,,,,1,0,0,7
436802831,35.8372436,128.485836,4,,,,,0,0,0,9
436802838,35.83966,128.48035,3,,,,,0,0,0,7
436802842,35.84086,128.47485,3,,,,,0,0,0,6
436802844,35.84197,128.47486,3,,,,,0,0,0,8
436802849,35.84321,128.47485,4,,,,,0,0,0,6
436802851,35.84321,128.48181,3,,,,,0,0,0,6
436802856,35.84446,128.4818,3,,,,,0,0,0,7
436802863,35.8521544,128.5306391,3,,,,,0,0,0,7
436802865,35.8521196,128.5284485,4,,,,,0,1,0,8
436802867,35.8501453,128.5285037,3,,,,,0,2,0,5
436802900,35.8092126,128.5268304,3,,,,,0,0,0,12
436803068,35.8411338,128.5158465,3,,,,,0,2,0,5
436803069,35.84114,128.51252,3,,,,,0,1,0,6
436803252,35.83966,128.48187,3,,,,,0,0,0,6
436803253,35.84202,128.48179,4,,,,,0,0,0,8
436803381,35.83998,128.5073882,4,,,,,0,0,0,5
436803382,35.84,128.5106,4,,,,,0,0,0,3
436803383,35.84002,128.51252,3,,,,,0,0,0,0
436803386,35.8432,128.47347,3,,,,,0,0,0,6
436803389,35.84444,128.47485,4,,,,,0,0,0,10
436806072,35.8307495,128.5192407,4,,,,,0,0,0,7
436806074,35.8330194,128.5159007,4,,,,,1,0,0,6
436806531,35.84153,128.51057,3,,,,,0,0,0,3
436806533,35.8415396,128.5073598,4,,,,,0,0,0,5
436810335,35.8352775,128.4999704,4,,,,,0,0,0,6
436810338,35.8447622,128.4998812,4,,,,,0,0,0,5
436810340,35.8397114,128.4999274,4,,,,,0,0,0,5
436810345,35.8354249,128.5039276,3,,,,,0,0,0,4
436810351,35.84487,128.50223,3,,,,,0,0,0,3
436810354,35.8473296,128.5073363,4,,,,,0,0,0,11
436810361,35.84734,128.51109,4,,,,,0,0,0,4
436810412,35.8459713,128.503616,3,,,,,0,0,0,0
436810415,35.8472813,128.503616,4,,,,,0,0,0,0
436810420,35.8519304,128.5036414,3,,,,,0,0,0,5
436810427,35.84725,128.4998,3,,,,,0,0,0,2
436810752,35.831409,128.5338834,3,,,,,0,4,0,5
436810753,35.8354799,128.5338687,4,,,,,1,3,0,6
436810859,35.8287831,128.532955,3,,,,,0,0,0,8
436810863,35.8313666,128.5312471,4,,,,,1,1,0,12
436814808,35.8520321,128.5250955,3,,,,,1,0,0,7
436814809,35.8539981,128.5245135,3,,,,,1,0,0,6
436819148,35.84941,128.51031,3,,,,,0,1,0,7
436819149,35.8494202,128.5145709,3,,,,,1,1,0,7
436819151,35.84975,128.51582,3,,,,,1,0,0,11
436819334,35.83967,128.49036,4,,,,,0,0,0,9
436819338,35.8445,128.49036,3,,,,,0,0,0,7
436819342,35.83968,128.48808,4,,,,,1,0,0,10
436819346,35.84448,128.48808,3,,,,,0,0,0,7
436819350,35.83496,128.48583,3,,,,,0,0,0,9
436819356,35.8420264,128.4858203,4,,,,,0,0,0,9
436819358,35.8444435,128.4858266,4,,,,,0,0,0,11
436819411,35.8518391,128.5016042,3,,,,,0,0,0,6
436819412,35.8499204,128.5016294,3,,,,,0,0,0,4
436819417,35.8493892,128.5036455,4,,,,,0,0,0,7
436819425,35.8248138,128.4999423,3,,,,,0,0,0,4
436819427,35.82766,128.49992,4,,,,,0,0,0,6
436819431,35.83354,128.49996,3,,,,,0,0,0,5
436819441,35.82682,128.51305,3,,,,,0,0,0,5
436819447,35.83042,128.51591,3,,,,,0,0,0,4
436819454,35.8358512,128.5106658,3,,,,,0,0,0,5
436819459,35.8432,128.51088,4,,,,,0,0,0,3
436819464,35.836022,128.5125554,3,,,,,0,0,0,10
436819466,35.8377,128.51252,3,,,,,0,0,0,3
436819470,35.843,128.51255,3,,,,,0,0,0,2
436824305,35.8371,128.55283,4,,,,,0,0,0,6
436824311,35.8373552,128.5414046,4,,,,,0,0,0,5
436824313,35.837404,128.5394018,4,,,,,0,0,0,6
436824314,35.83736,128.53395,4,,,,,1,0,0,7
436825724,35.83375,128.55279,3,,,,,0,1,0,6
436831092,35.83832,128.55284,4,,,,,1,1,0,8
436831093,35.84105,128.55287,3,,,,,0,0,0,5
436831094,35.84342,128.55288,4,,,,,1,0,0,8
436832722,35.843,128.51583,3,,,,,0,3,0,4
436832724,35.8506974,128.5158296,4,,,,,0,0,0,3
436833679,35.8372973,128.544736,4,,yes,,,0,0,0,7
436833680,35.83951,128.54479,4,,,,,0,0,0,6
436833681,35.84111,128.54482,3,,,,,1,0,0,7
436833684,35.84728,128.54536,3,,,,,0,0,0,5
436833685,35.85247,128.54888,3,,,,,1,1,0,7
436833727,35.8045811,128.5321999,3,,,,,0,4,0,6
436833729,35.803955,128.5379967,3,,,,,0,0,0,7
436833732,35.8092272,128.5399558,3,,,,,0,0,0,6
436833811,35.8517261,128.5411251,3,,,,,0,0,0,9
436833812,35.8523414,128.5409447,4,,,,,1,4,0,4
436833816,35.85429,128.54019,3,,,,,0,2,0,13
436834035,35.8418914,128.53701,4,,,,,0,0,0,10
436834040,35.8394166,128.548795,4,,,,,0,3,0,6
436834041,35.83939,128.55016,4,,,,,0,0,0,9
436834043,35.83818,128.55357,4,,,,,1,1,0,9
436834044,35.83821,128.55451,3,,,,,0,0,0,7
436834045,35.83911,128.55683,4,,,,,1,0,0,8
436837217,35.8377353,128.5087217,4,,,,,0,0,0,0
436840868,35.8535694,128.4998305,3,,,,,0,1,0,6
436840869,35.8536598,128.4940826,4,,,,,1,1,0,11
436840873,35.84778,128.4998,3,,,,,0,0,0,4
436851626,35.8378446,128.4999518,3,,,,,0,0,0,5
436851627,35.83787,128.49446,4,,,,,0,0,0,5
436852720,35.8464523,128.5516129,3,,,,,1,3,0,9
436852721,35.8462201,128.5508526,3,,,,,0,2,0,10
436852722,35.8462601,128.5475863,4,,,,,0,4,0,9
436852723,35.8465943,128.5468563,4,,,,,0,0,0,13
