osmid,y,x,street_count,highway,junction,ref,railway,geometry,convenience_store_count,cctv_count,police_count,lighting_count,population,safety_score
365208094,35.8514859,128.5093038,3,,,,,POINT (128.5093038 35.8514859),0.0,0.0,0.0,0.035211267605633804,0.022300964633866657,0.01038739821620676
365208095,35.8517521,128.5072639,4,,,,,POINT (128.5072639 35.8517521),0.0,0.0,0.0,0.02112676056338028,0.06451325203643354,0.013902339918141087
365208096,35.8520526,128.5046995,3,,,,,POINT (128.5046995 35.8520526),0.0,0.0,0.0,0.035211267605633804,0.09007024527805069,0.020552790312834364
365208101,35.8514544,128.4930127,3,,,,,POINT (128.4930127 35.8514544),0.0,0.0,0.0,0.028169014084507043,0.02489729353239465,0.009368396846760607
365208112,35.8533308,128.4735134,3,traffic_signals,,,,POINT (128.4735134 35.8533308),0.0,0.21428571428571427,0.0,0.06338028169014084,0.002245244074735766,0.06658427152066711
365395375,35.8206118,128.4925976,4,,,,,POINT (128.4925976 35.8206118),0.0,0.0,0.0,0.04225352112676056,1.4156646120654258e-05,0.008452827722270212
365395402,35.8590744,128.5074566,4,,yes,,,POINT (128.5074566 35.8590744),0.0,0.0,0.0,0.056338028169014086,0.011526341271436702,0.012996556824518323
365395405,35.843961,128.5074036,4,,,,,POINT (128.5074036 35.843961),0.0,0.0,0.0,0.04225352112676056,0.010325857680405219,0.009999582877412896
365395408,35.8355499,128.5072823,4,,,,,POINT (128.5072823 35.8355499),0.0,0.0,0.0,0.028169014084507043,0.009833206395406451,0.007108783776212376
365781949,35.8613681,128.5218625,3,,,,,POINT (128.5218625 35.8613681),0.0,0.0,0.0,0.07042253521126761,0.0043333493775322696,0.014734509448883364
365781951,35.8583092,128.5211402,3,,,,,POINT (128.5211402 35.8583092),0.5,0.0,0.0,0.056338028169014086,0.0037076256189993518,0.08682374947665271
365781952,35.8551446,128.521052,4,,,,,POINT (128.521052 35.8551446),0.0,0.07142857142857142,0.0,0.07042253521126761,0.0343213728549142,0.03708985582763351
366663675,35.836737,128.5226086,3,,,,,POINT (128.5226086 35.836737),0.0,0.0,0.0,0.07746478873239437,0.025983108289848834,0.0193904239899562
366663678,35.8363597,128.5158888,4,,,,,POINT (128.5158888 35.8363597),0.0,0.0,0.0,0.028169014084507043,0.011146943155403165,0.007305844290211884
366663679,35.8349582,128.4919404,4,,,,,POINT (128.4919404 35.8349582),0.0,0.0,0.0,0.035211267605633804,0.01868252588542743,0.009844632403940876
366663680,35.8349033,128.4824693,3,,,,,POINT (128.4824693 35.8349033),0.0,0.0,0.0,0.014084507042253521,0.002245244074735766,0.003153688019661069
366669829,35.858827,128.521145,4,,,,,POINT (128.521145 35.858827),0.5,0.0,0.0,0.07042253521126761,0.012394143678632808,0.09094362859404843
